experiment_id,run_id,model,target,seed,checkpoint_path,size_bytes,sha256,registry_status,classification,predictions_exist,history_exists,config_exists,result_json_exists,prediction_audit_passes,prediction_audit_note,decision,reason
lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1,ImageNet-MAE,aptos,1,outputs\checkpoints\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1\best_qwk.pt,1616531095,7e13d33e2436b9281ac8352828626445bb39c08d5fc093604ccd9cf11fe7345f,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.822032),DELETE,reproducible from retained predictions
lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2,ImageNet-MAE,aptos,2,outputs\checkpoints\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2\best_qwk.pt,1616531031,b0daafe749ac03e4695d15d8c1d497a8db5e1536c5362f18e01499fe42f22aa4,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.844928),DELETE,reproducible from retained predictions
lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3,ImageNet-MAE,aptos,3,outputs\checkpoints\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3\best_qwk.pt,1616531095,782e2b7a595141ed31728a38c4ecd6816c82fcbb10dd7b83e5951a275c58d496,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.809081),DELETE,reproducible from retained predictions
lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4,ImageNet-MAE,aptos,4,outputs\checkpoints\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4\best_qwk.pt,1616531031,ce37b89b084ebc0fb6a09ff35ba19065ac88673a8fe20020d275877df19bdbc6,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.846777),DELETE,reproducible from retained predictions
lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42,ImageNet-MAE,aptos,42,outputs\checkpoints\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42\best_qwk.pt,1616531095,db0048b3a575169b455228be91fbb51d37d24f44db5c00ebb4ad6b757619826f,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.843974),RETAIN,matched representative pair for this target
lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s1,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s1,RETFound-CFP,aptos,1,outputs\checkpoints\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s1\best_qwk.pt,1616531095,dcdca2b54df82c0dbedbe23064a05fe6a6bb253443958258174b149ebc983124,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.816131),DELETE,reproducible from retained predictions
lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s2,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s2,RETFound-CFP,aptos,2,outputs\checkpoints\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s2\best_qwk.pt,1616531031,30971c03436fb15b52c498b41c24eee851492db9011da0a38944e45b1205577a,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.819338),DELETE,reproducible from retained predictions
lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s3,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s3,RETFound-CFP,aptos,3,outputs\checkpoints\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s3\best_qwk.pt,1616531095,1e4c8d542c94b457364b76fef2b66f047884f59c5888a173c989a337eb876cbc,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.829778),DELETE,reproducible from retained predictions
lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s4,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s4,RETFound-CFP,aptos,4,outputs\checkpoints\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s4\best_qwk.pt,1616531031,561fe02608e1b47e3d70ca3f30d9caf7c3ddbcbb59dde03412f34efd0be576c2,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.836525),DELETE,reproducible from retained predictions
lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s42,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s42,RETFound-CFP,aptos,42,outputs\checkpoints\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s42\best_qwk.pt,1616531095,eda29533ab9672d899d095057055ff1df925a885ee4193b5c1eda970b1299232,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.828769),RETAIN,matched representative pair for this target
