domain,method,seed,image_size,backbone,batch_size,n_train,n_test,val_qwk,test_qwk,test_f1,test_ece,test_ece_scaled,test_severe,seconds
aptos,erm,42,224,densenet121,32,2809,354,0.8965538162844315,0.9091092159449036,0.6663961952026468,0.0720173865556717,0.0514264152386606,0.03954802259887,235.2
aptos,erm,1,224,densenet121,32,2809,354,0.9002473672325663,0.917806628872163,0.6735763134825555,0.060960182362357,0.0370593633594635,0.0338983050847457,154.3
aptos,erm,2,224,densenet121,32,2809,354,0.899121108457583,0.898490115969244,0.6849221147327531,0.0634028278501694,0.0317256789103285,0.0451977401129943,180.9
ddr,erm,42,224,densenet121,32,8697,1862,0.8901441359063365,0.8756732243528843,0.6649630691743392,0.0864800506388462,0.0106754421376385,0.0714285714285714,620.3
ddr,erm,1,224,densenet121,32,8697,1862,0.8780849652264097,0.8746797307761691,0.6800663364204984,0.0822227365796471,0.0178376913401606,0.0741138560687432,622.4
ddr,erm,2,224,densenet121,32,8697,1862,0.8727122267304822,0.86035174560318,0.6268509552818144,0.0320167644739663,0.0144605918008814,0.0907626208378088,435.0
eyepacs,erm,42,224,densenet121,32,24574,5268,0.709015896731166,0.7089828230314528,0.5423260184176844,0.073308019318527,0.0363976105950829,0.0918754745634016,2026.4
eyepacs,erm,1,224,densenet121,32,24574,5268,0.7161218662970243,0.7186712405488658,0.54032771259627,0.0805070148830443,0.0266916039873679,0.0926347760060744,1719.6
eyepacs,erm,2,224,densenet121,32,24574,5268,0.7033908467777159,0.6911922435813672,0.5009009888264805,0.0418687927435543,0.0259479157803991,0.0970007593014426,1539.0
idrid,erm,42,224,densenet121,32,335,102,0.8566685113447703,0.5883863529165139,0.4371434192406059,0.1720348868299933,0.1712100708975792,0.2254901960784313,47.9
idrid,erm,1,224,densenet121,32,335,102,0.8336097291321172,0.6015833901326483,0.482662282304226,0.1638760598851185,0.0971099416537355,0.1764705882352941,35.9
idrid,erm,2,224,densenet121,32,335,102,0.8520578420467186,0.5639101892204998,0.3996933341533711,0.1901450723994011,0.1242089003440154,0.2254901960784313,32.3
aptos,erm,42,512,densenet121,16,2809,354,0.920892933404335,0.9161610067659538,0.703020844701517,0.07612511414592552,0.04908583501028863,0.03672316384180791,939.9
ddr,erm,42,512,densenet121,16,8697,1862,0.8950031498165144,0.8776555678641548,0.6813717299149069,0.045891010671629935,0.02192742286880748,0.07250268528464017,2275.1
eyepacs,erm,42,512,densenet121,16,24574,5268,0.8083337396836153,0.8004096748894151,0.6130007975457431,0.0606282572171602,0.0251907476781836,0.0575170842824601,11802.4
idrid,erm,42,512,densenet121,16,335,102,0.8755230125523012,0.7196888536960269,0.5384343569158986,0.19922711481066313,0.12401591205760441,0.16666666666666666,131.9
