target,method,seed,metric,estimate,ci_lower,ci_upper,standard_error,n_bootstrap,n_samples,n_failed_resamples,confidence_level
ddr,erm,42,qwk,0.7333719908664899,0.7224644484835886,0.7452790009116964,0.005792539804554631,2000,12424,0,0.95
ddr,erm,42,f1_macro,0.5082638640995095,0.49597292399530485,0.520987535837451,0.006376207093639263,2000,12424,0,0.95
ddr,erm,42,ece,0.13829971474001929,0.13095435265039443,0.14599249456326463,0.003889689880030236,2000,12424,0,0.95
ddr,erm,42,mae_grade,0.4677237604636188,0.45234626529298133,0.4823003863490019,0.007637643595801201,2000,12424,0,0.95
aptos,erm,42,qwk,0.8590853269535972,0.8475066558132311,0.8706629449849763,0.005933283748885709,2000,3504,0,0.95
aptos,erm,42,f1_macro,0.504712223736574,0.487376244955913,0.5218033621522506,0.008756676289143846,2000,3504,0,0.95
aptos,erm,42,ece,0.10815293351027394,0.0948794040629994,0.12267388616723741,0.007087616834028785,2000,3504,0,0.95
aptos,erm,42,mae_grade,0.3433219178082192,0.3230593607305936,0.363013698630137,0.010283534864401726,2000,3504,0,0.95
idrid,erm,42,qwk,0.7542569817218183,0.7054050894716568,0.7976438307417735,0.024014252606335412,2000,507,0,0.95
idrid,erm,42,f1_macro,0.4898948035878741,0.4446161386120223,0.5340192048614266,0.0228661467587536,2000,507,0,0.95
idrid,erm,42,ece,0.215886190887574,0.17850651523964506,0.25716575129980274,0.020409144433503695,2000,507,0,0.95
idrid,erm,42,mae_grade,0.5443786982248521,0.4832347140039448,0.6134122287968442,0.03405390907158679,2000,507,0,0.95
eyepacs,erm,42,qwk,0.40771282722895696,0.3967045795848834,0.41771185805652383,0.005309780273164171,2000,35108,0,0.95
eyepacs,erm,42,f1_macro,0.3757747621954475,0.3652790961801871,0.3862869415426593,0.0053686379736711965,2000,35108,0,0.95
eyepacs,erm,42,ece,0.28870573537427374,0.2837056087781558,0.29374302438489797,0.002627717134837893,2000,35108,0,0.95
eyepacs,erm,42,mae_grade,0.675145266036231,0.6656303406630967,0.684773413467016,0.00480608269928652,2000,35108,0,0.95
