method,metric,estimate,ci_lower,ci_upper,standard_error,n_bootstrap,n_samples,n_failed_resamples,confidence_level,seed
erm,qwk,0.7528824599851989,0.7052655550485312,0.7940391041474251,0.022452948116556324,2000,507,0,0.95,42
erm,f1_macro,0.46798810862505047,0.4237940145225621,0.5089777411265863,0.022115035558203364,2000,507,0,0.95,42
erm,ece,0.2646847099013807,0.22424135373767257,0.30549216519625244,0.020933227066138264,2000,507,0,0.95,42
ordinal,qwk,0.6645553836010016,0.6095410623067209,0.715101000479046,0.02680642452420967,2000,507,0,0.95,42
ordinal,f1_macro,0.39366886340191876,0.35591771693386953,0.4354085484701442,0.02072081787111695,2000,507,0,0.95,42
ordinal,ece,0.059417907909270234,0.04254830948076933,0.10362682472189357,0.016082145388883664,2000,507,0,0.95,42
deep_coral,qwk,0.6645649478125373,0.602922807518793,0.7224320769588594,0.030335016534106425,2000,507,0,0.95,42
deep_coral,f1_macro,0.41971134954858913,0.3754682182165296,0.4648119344751322,0.02254794686564389,2000,507,0,0.95,42
deep_coral,ece,0.3352176583431953,0.29417955971893495,0.3753194745586785,0.02058069418682945,2000,507,0,0.95,42
mixstyle,qwk,0.6432999698478419,0.5814055502084785,0.6998617282414088,0.030983758187028525,2000,507,0,0.95,42
mixstyle,f1_macro,0.4193729875883653,0.3757793026835805,0.46246197376274284,0.02203371996991814,2000,507,0,0.95,42
mixstyle,ece,0.3019056473175542,0.2611079575848127,0.34437162797090726,0.021062416663492966,2000,507,0,0.95,42
mixstyle_ordinal,qwk,0.6623224878662592,0.6075730480886707,0.7141836452981317,0.027209554423180963,2000,507,0,0.95,42
mixstyle_ordinal,f1_macro,0.37831793721616924,0.34887200155498016,0.4065693674401938,0.014927695916030605,2000,507,0,0.95,42
mixstyle_ordinal,ece,0.06278200278106509,0.036586718906804754,0.10743690044723857,0.018428168056413927,2000,507,0,0.95,42
deep_coral_ordinal,qwk,0.6707447853987718,0.6141577911009167,0.7233320969784791,0.02804190375479567,2000,507,0,0.95,42
deep_coral_ordinal,f1_macro,0.39384269950038586,0.36412279801633124,0.42183974838693955,0.014795803788069712,2000,507,0,0.95,42
deep_coral_ordinal,ece,0.07065803211045371,0.04417398026577908,0.1165661042712031,0.018920761137156072,2000,507,0,0.95,42
