method,seed,val_qwk,test_qwk,val_f1,test_f1,val_ece,test_ece,test_ece_scaled,test_mae,test_severe,seconds
erm,42,0.8797003741074338,0.7528824599851989,0.6935423277348951,0.4679881086250504,0.0505160290548613,0.2646847103944661,0.1850184459402084,0.5739644970414202,0.0788954635108481,766.5
ordinal,42,0.8784637954441641,0.6645553836010016,0.5356825527607775,0.3936688634019187,0.1771069731722069,0.0594179079495003,0.1128459334726164,0.6725838264299803,0.2169625246548323,795.5000000000001
deep_coral,42,0.8794015880505941,0.6645649478125373,0.6398447152439635,0.4197113495485891,0.0849844378470725,0.3352176577029143,0.2060665654517083,0.6607495069033531,0.1518737672583826,1067.5
mixstyle,42,0.8790587256486733,0.6432999698478419,0.6604000518319877,0.4193729875883653,0.0697679844695875,0.3019056470083767,0.2035456495692616,0.6863905325443787,0.1637080867850098,1222.4
mixstyle_ordinal,42,0.8728756103142974,0.6623224878662592,0.5165067915799793,0.3783179372161692,0.1681586872391125,0.0627820033293504,0.1353240318787403,0.6706114398422091,0.2149901380670611,1218.3
deep_coral_ordinal,42,0.8705736088376068,0.6707447853987718,0.5132937844946168,0.3938426995003858,0.1798510820430079,0.0706580328870807,0.0965646167948871,0.6489151873767258,0.2031558185404339,1073.6
erm,1,0.8794009864594553,0.6893953317404888,0.6714239407683086,0.41238496096952204,0.08225778682817687,0.3246835702975121,0.19906764907062094,0.6548323471400395,0.13609467455621302,1062.3
ordinal,1,0.871346564342346,0.6562703910924766,0.5257943791885689,0.39396549518842894,0.17551173679091558,0.06849693670075323,0.12026951116687916,0.6706114398422091,0.21301775147928995,1067.7
deep_coral,1,0.8805575788365687,0.6657205673654566,0.6659039625163954,0.4081272552188263,0.08875522501124972,0.35574199779499216,0.21793602163758838,0.6666666666666666,0.1341222879684418,1081.0
mixstyle,1,0.8773844546062551,0.6825319768669003,0.6510852064477428,0.43911271642785915,0.07326819289033235,0.29628614331843584,0.18901666652586133,0.6469428007889546,0.1341222879684418,1098.0
mixstyle_ordinal,1,0.8814848047122396,0.6751093652649921,0.5101092482558918,0.3901460839307676,0.16852338645853776,0.07254197676271146,0.13625282454772814,0.6449704142011834,0.19723865877712032,917.2
deep_coral_ordinal,1,0.8797689880736379,0.678258517203483,0.5315785320738667,0.3970502268180107,0.16813487473770583,0.058499890083862256,0.12753324807278035,0.6449704142011834,0.20315581854043394,808.1
erm,2,0.880594038937787,0.7281192776903325,0.68050318048492,0.4345855231841246,0.0793346628641283,0.30265291220337676,0.16907161878486407,0.5976331360946746,0.10453648915187377,788.6
ordinal,2,0.8664669879154339,0.6425940959023904,0.5048648925418726,0.3826184508891276,0.17423665072306221,0.05522373659606044,0.10526273418695498,0.6844181459566075,0.21696252465483234,789.1
deep_coral,2,0.8833427481402805,0.6924661855391898,0.6829909828174898,0.44813665528764285,0.082167521997246,0.2881391985999527,0.1625840741320469,0.6134122287968442,0.126232741617357,804.2
mixstyle,2,0.8861925556010599,0.6591314228898122,0.6904735737892418,0.38429113662036624,0.05902112401677395,0.3384742693905764,0.2381715187026837,0.7061143984220908,0.14792899408284024,895.3
mixstyle_ordinal,2,0.863415033730055,0.641380266370936,0.5186655400152285,0.4255353724289894,0.17358026350236216,0.05435618229166291,0.1282180376659483,0.6765285996055227,0.22090729783037474,901.0
deep_coral_ordinal,2,0.8709798450228019,0.6843456728740542,0.5168485824437996,0.4171262701717474,0.1719032848356857,0.09429957804360099,0.12815765980667848,0.6410256410256411,0.20315581854043394,804.9
