experiment_id,timestamp_utc,status,protocol,source_domains,target_domain,backbone,head,method,loss,imbalance_strategy,image_size,batch_size,accumulation_steps,effective_batch_size,learning_rate,weight_decay,epochs_planned,epochs_run,seed,deterministic,n_train,n_val,n_test,best_epoch,best_val_qwk,best_val_loss,best_checkpoint,test_qwk,test_f1_macro,test_accuracy,test_balanced_accuracy,test_mae_grade,test_within_1_grade,test_severe_error_rate,test_auroc_macro,test_ece,test_nll,test_brier,train_seconds,peak_vram_gb,params_total_m,params_trainable_m,predictions_path,history_path,config_json,notes,domain_balanced,irm_anneal_iters,trainable_blocks
lodo_aptos-ddr__idrid_densenet121_erm-none_s42,2026-08-19T17:31:35+00:00,COMPLETE,lodo,"[""ddr"", ""aptos""]",idrid,densenet121,linear,erm-none,cross_entropy,none,224,16,1.0,16.0,0.0003,0.0001,20.0,20.0,42,False,11506.0,2206.0,507.0,18.0,0.878708061067158,,D:\Research Code\dr_domain_generalization\outputs\checkpoints\lodo_aptos-ddr__idrid_densenet121_erm-none_s42\best_qwk.pt,0.6823144986599111,0.4322832100892861,0.4911242603550296,0.5221380544898583,0.6469428007889546,0.8915187376725838,0.1084812623274161,0.8672238209730105,0.3456477245988225,2.14000383597265,0.8148277293928943,1111.0,1.12,6.96,6.96,D:\Research Code\dr_domain_generalization\outputs\predictions\lodo_aptos-ddr__idrid_densenet121_erm-none_s42__target_test[idrid]_predictions.csv,D:\Research Code\dr_domain_generalization\outputs\logs\lodo_aptos-ddr__idrid_densenet121_erm-none_s42_history.csv,,"Stage C baseline, 1 seed; temperature fitted on source validation only",False,500.0,-1.0
lodo_aptos-ddr__idrid_densenet121_erm-b32_s42,2026-08-19T17:59:41+00:00,COMPLETE,lodo,"[""ddr"", ""aptos""]",idrid,densenet121,linear,erm,cross_entropy,none,224,32,1.0,32.0,0.0003,0.0001,20.0,19.0,42,False,11506.0,2206.0,507.0,12.0,0.8797003741074338,0.4657061078410218,D:\Research Code\dr_domain_generalization\outputs\checkpoints\lodo_aptos-ddr__idrid_densenet121_erm-b32_s42\best_qwk.pt,0.7528824599851989,0.4679881086250504,0.5207100591715976,0.5253242346376392,0.5739644970414202,0.921104536489152,0.0788954635108481,0.8772825633958318,0.2646847103944661,1.6672367290670032,0.7101901817148658,766.5,2.12,6.96,6.96,D:\Research Code\dr_domain_generalization\outputs\predictions\lodo_aptos-ddr__idrid_densenet121_erm-b32_s42__target_test[idrid]_predictions.csv,D:\Research Code\dr_domain_generalization\outputs\logs\lodo_aptos-ddr__idrid_densenet121_erm-b32_s42_history.csv,"{""epochs"": 20, ""batch_size"": 32, ""accumulation_steps"": 1, ""learning_rate"": 0.0003, ""head_learning_rate"": null, ""weight_decay"": 0.0001, ""warmup_epochs"": 1, ""scheduler"": ""cosine"", ""min_learning_rate"": 1e-06, ""amp"": true, ""grad_clip_norm"": 1.0, ""early_stopping_patience"": 6, ""monitor"": ""qwk"", ""monitor_mode"": ""max"", ""log_every_n_steps"": 50, ""num_classes"": 5, ""seed"": 42, ""show_progress"": true, ""effective_batch_size"": 32, ""method"": ""erm"", ""imbalance_strategy"": ""none"", ""ordinal"": false, ""domain_generalization"": ""none"", ""backbone"": ""densenet121"", ""pretrained"": true, ""head"": ""linear"", ""dropout"": 0.2, ""image_size"": 224, ""trainable_blocks"": null, ""mixstyle"": false, ""strategy"": ""none"", ""label_smoothing"": 0.0, ""loss"": ""cross_entropy""}","Stage C method comparison, batch 32, 1 seed; temperature fitted on source validation only; components={}",False,500.0,-1.0
lodo_aptos-ddr__idrid_densenet121_deep-coral-b32_s42,2026-08-19T18:31:06+00:00,COMPLETE,lodo,"[""ddr"", ""aptos""]",idrid,densenet121,linear,deep_coral,cross_entropy,none,224,32,1.0,32.0,0.0003,0.0001,20.0,20.0,42,False,11506.0,2206.0,507.0,16.0,0.8794015880505941,0.4723612058070907,D:\Research Code\dr_domain_generalization\outputs\checkpoints\lodo_aptos-ddr__idrid_densenet121_deep-coral-b32_s42\best_qwk.pt,0.6645649478125373,0.4197113495485891,0.514792899408284,0.4599572391592058,0.6607495069033531,0.8481262327416174,0.1518737672583826,0.8514478944864676,0.3352176577029143,1.9436029072658447,0.756800383723302,1067.5,2.23,6.96,6.96,D:\Research Code\dr_domain_generalization\outputs\predictions\lodo_aptos-ddr__idrid_densenet121_deep-coral-b32_s42__target_test[idrid]_predictions.csv,D:\Research Code\dr_domain_generalization\outputs\logs\lodo_aptos-ddr__idrid_densenet121_deep-coral-b32_s42_history.csv,"{""epochs"": 20, ""batch_size"": 32, ""accumulation_steps"": 1, ""learning_rate"": 0.0003, ""head_learning_rate"": null, ""weight_decay"": 0.0001, ""warmup_epochs"": 1, ""scheduler"": ""cosine"", ""min_learning_rate"": 1e-06, ""amp"": true, ""grad_clip_norm"": 1.0, ""early_stopping_patience"": 6, ""monitor"": ""qwk"", ""monitor_mode"": ""max"", ""log_every_n_steps"": 50, ""num_classes"": 5, ""seed"": 42, ""show_progress"": true, ""effective_batch_size"": 32, ""method"": ""deep_coral"", ""imbalance_strategy"": ""none"", ""ordinal"": false, ""domain_generalization"": ""deep_coral"", ""coral_lambda"": 1.0, ""backbone"": ""densenet121"", ""pretrained"": true, ""head"": ""linear"", ""dropout"": 0.2, ""image_size"": 224, ""trainable_blocks"": null, ""mixstyle"": false, ""strategy"": ""none"", ""label_smoothing"": 0.0, ""loss"": ""cross_entropy"", ""feature_loss"": ""deep_coral""}","Stage C method comparison, batch 32, 1 seed; temperature fitted on source validation only; components={'deep_coral': {'lambda': 1.0, 'min_samples_per_domain': 4, 'batches_seen': 7180, 'degenerate_batches': 209, 'degenerate_fraction': 0.0291}}",False,500.0,-1.0
lodo_aptos-ddr__idrid_densenet121_mixstyle-b32_s42,2026-08-19T18:51:37+00:00,COMPLETE,lodo,"[""ddr"", ""aptos""]",idrid,densenet121,linear,mixstyle,cross_entropy,none,224,32,1.0,32.0,0.0003,0.0001,20.0,20.0,42,False,11506.0,2206.0,507.0,15.0,0.8790587256486733,0.4535209492280863,D:\Research Code\dr_domain_generalization\outputs\checkpoints\lodo_aptos-ddr__idrid_densenet121_mixstyle-b32_s42\best_qwk.pt,0.6432999698478419,0.4193729875883653,0.5009861932938856,0.4878529956278664,0.6863905325443787,0.8362919132149902,0.1637080867850098,0.8596018396872178,0.3019056470083767,2.0840630172156827,0.7760683943721931,1222.4,2.42,6.96,6.96,D:\Research Code\dr_domain_generalization\outputs\predictions\lodo_aptos-ddr__idrid_densenet121_mixstyle-b32_s42__target_test[idrid]_predictions.csv,D:\Research Code\dr_domain_generalization\outputs\logs\lodo_aptos-ddr__idrid_densenet121_mixstyle-b32_s42_history.csv,"{""epochs"": 20, ""batch_size"": 32, ""accumulation_steps"": 1, ""learning_rate"": 0.0003, ""head_learning_rate"": null, ""weight_decay"": 0.0001, ""warmup_epochs"": 1, ""scheduler"": ""cosine"", ""min_learning_rate"": 1e-06, ""amp"": true, ""grad_clip_norm"": 1.0, ""early_stopping_patience"": 6, ""monitor"": ""qwk"", ""monitor_mode"": ""max"", ""log_every_n_steps"": 50, ""num_classes"": 5, ""seed"": 42, ""show_progress"": true, ""effective_batch_size"": 32, ""method"": ""mixstyle"", ""imbalance_strategy"": ""none"", ""ordinal"": false, ""domain_generalization"": ""mixstyle"", ""mixstyle_p"": 0.5, ""mixstyle_alpha"": 0.1, ""mixstyle_stages"": 2, ""backbone"": ""densenet121"", ""pretrained"": true, ""head"": ""linear"", ""dropout"": 0.2, ""image_size"": 224, ""trainable_blocks"": null, ""mixstyle"": false, ""strategy"": ""none"", ""label_smoothing"": 0.0, ""loss"": ""cross_entropy"", ""mixstyle_modules"": 2}","Stage C method comparison, batch 32, 1 seed; temperature fitted on source validation only; components={'mixstyle': {'p': 0.5, 'alpha': 0.1, 'batches_mixed': 3600, 'batches_skipped': 3580, 'applied_fraction': 0.5014}, 'mixstyle_n_modules': 2}",False,500.0,-1.0
lodo_aptos-ddr__idrid_densenet121_ordinal-b32_s42,2026-08-19T20:14:05+00:00,COMPLETE,lodo,"[""ddr"", ""aptos""]",idrid,densenet121,ordinal_coral,ordinal,coral_ordinal,none,224,32,1.0,32.0,0.0003,0.0001,20.0,20.0,42,False,11506.0,2206.0,507.0,17.0,0.862473583801994,,D:\Research Code\dr_domain_generalization\outputs\checkpoints\lodo_aptos-ddr__idrid_densenet121_ordinal-b32_s42\best_qwk.pt,0.6645553836010016,0.3936688634019187,0.5522682445759369,0.4354771335112007,0.6725838264299803,0.7830374753451677,0.2169625246548323,0.826795699138987,0.0594179079495003,1.603044674045666,0.6379183677622619,795.5000000000001,2.2,6.95,6.95,D:\Research Code\dr_domain_generalization\outputs\predictions\lodo_aptos-ddr__idrid_densenet121_ordinal-b32_s42__target_test[idrid]_predictions.csv,D:\Research Code\dr_domain_generalization\outputs\logs\lodo_aptos-ddr__idrid_densenet121_ordinal-b32_s42_history.csv,"{""method"": ""ordinal"", ""imbalance_strategy"": ""none"", ""ordinal"": true, ""domain_generalization"": ""none"", ""backbone"": ""densenet121"", ""pretrained"": true, ""num_classes"": 5, ""head"": ""ordinal_coral"", ""dropout"": 0.2, ""image_size"": 224, ""trainable_blocks"": null, ""mixstyle"": false, ""loss"": ""coral_ordinal"", ""prediction_rule"": ""coral_threshold_count""}","Stage C method comparison, batch 32, 1 seed; re-evaluated from checkpoint after the ordinal evaluation fix; prediction rule = coral_threshold_count",False,500.0,-1.0
lodo_aptos-ddr__idrid_densenet121_mixstyle-ordinal-b32_s42,2026-08-19T20:14:16+00:00,COMPLETE,lodo,"[""ddr"", ""aptos""]",idrid,densenet121,ordinal_coral,mixstyle_ordinal,coral_ordinal,none,224,32,1.0,32.0,0.0003,0.0001,20.0,20.0,42,False,11506.0,2206.0,507.0,16.0,0.8513374765398273,,D:\Research Code\dr_domain_generalization\outputs\checkpoints\lodo_aptos-ddr__idrid_densenet121_mixstyle-ordinal-b32_s42\best_qwk.pt,0.6623224878662592,0.3783179372161692,0.5522682445759369,0.4217358349251939,0.6706114398422091,0.7850098619329389,0.2149901380670611,0.8043550135141307,0.0627820033293504,1.6030681696553848,0.6388300900783531,1218.3,2.34,6.95,6.95,D:\Research Code\dr_domain_generalization\outputs\predictions\lodo_aptos-ddr__idrid_densenet121_mixstyle-ordinal-b32_s42__target_test[idrid]_predictions.csv,D:\Research Code\dr_domain_generalization\outputs\logs\lodo_aptos-ddr__idrid_densenet121_mixstyle-ordinal-b32_s42_history.csv,"{""method"": ""mixstyle_ordinal"", ""imbalance_strategy"": ""none"", ""ordinal"": true, ""domain_generalization"": ""mixstyle"", ""mixstyle_p"": 0.5, ""mixstyle_alpha"": 0.1, ""mixstyle_stages"": 2, ""backbone"": ""densenet121"", ""pretrained"": true, ""num_classes"": 5, ""head"": ""ordinal_coral"", ""dropout"": 0.2, ""image_size"": 224, ""trainable_blocks"": null, ""mixstyle"": false, ""loss"": ""coral_ordinal"", ""prediction_rule"": ""coral_threshold_count"", ""mixstyle_modules"": 2}","Stage C method comparison, batch 32, 1 seed; re-evaluated from checkpoint after the ordinal evaluation fix; prediction rule = coral_threshold_count",False,500.0,-1.0
lodo_aptos-ddr__idrid_densenet121_deep-coral-ordinal-b32_s42,2026-08-19T20:14:26+00:00,COMPLETE,lodo,"[""ddr"", ""aptos""]",idrid,densenet121,ordinal_coral,deep_coral_ordinal,coral_ordinal,none,224,32,1.0,32.0,0.0003,0.0001,20.0,20.0,42,False,11506.0,2206.0,507.0,17.0,0.8556452632900031,,D:\Research Code\dr_domain_generalization\outputs\checkpoints\lodo_aptos-ddr__idrid_densenet121_deep-coral-ordinal-b32_s42\best_qwk.pt,0.6707447853987718,0.3938426995003858,0.5660749506903353,0.4321566029271929,0.6489151873767258,0.796844181459566,0.2031558185404339,0.8111517983486098,0.0706580328870807,1.5996208687243925,0.6261404876153596,1073.6,2.21,6.95,6.95,D:\Research Code\dr_domain_generalization\outputs\predictions\lodo_aptos-ddr__idrid_densenet121_deep-coral-ordinal-b32_s42__target_test[idrid]_predictions.csv,D:\Research Code\dr_domain_generalization\outputs\logs\lodo_aptos-ddr__idrid_densenet121_deep-coral-ordinal-b32_s42_history.csv,"{""method"": ""deep_coral_ordinal"", ""imbalance_strategy"": ""none"", ""ordinal"": true, ""domain_generalization"": ""deep_coral"", ""coral_lambda"": 1.0, ""backbone"": ""densenet121"", ""pretrained"": true, ""num_classes"": 5, ""head"": ""ordinal_coral"", ""dropout"": 0.2, ""image_size"": 224, ""trainable_blocks"": null, ""mixstyle"": false, ""loss"": ""coral_ordinal"", ""prediction_rule"": ""coral_threshold_count"", ""feature_loss"": ""deep_coral""}","Stage C method comparison, batch 32, 1 seed; re-evaluated from checkpoint after the ordinal evaluation fix; prediction rule = coral_threshold_count",False,500.0,-1.0
lodo_aptos-ddr__idrid_densenet121_erm-b32_s1,2026-08-19T20:51:50+00:00,COMPLETE,lodo,"[""ddr"", ""aptos""]",idrid,densenet121,linear,erm,cross_entropy,none,224,32,1.0,32.0,0.0003,0.0001,20.0,20.0,1,False,11506.0,2206.0,507.0,19.0,0.8794009864594553,0.4659041140660427,D:\Research Code\dr_domain_generalization\outputs\checkpoints\lodo_aptos-ddr__idrid_densenet121_erm-b32_s1\best_qwk.pt,0.6893953317404888,0.412384960969522,0.5009861932938856,0.4578378956550624,0.6548323471400395,0.863905325443787,0.136094674556213,0.8471129818765293,0.3246835702975121,2.119962111032443,0.7728313599751288,1062.3,2.12,6.96,6.96,D:\Research Code\dr_domain_generalization\outputs\predictions\lodo_aptos-ddr__idrid_densenet121_erm-b32_s1__target_test[idrid]_predictions.csv,D:\Research Code\dr_domain_generalization\outputs\logs\lodo_aptos-ddr__idrid_densenet121_erm-b32_s1_history.csv,"{""epochs"": 20, ""batch_size"": 32, ""accumulation_steps"": 1, ""learning_rate"": 0.0003, ""head_learning_rate"": null, ""weight_decay"": 0.0001, ""warmup_epochs"": 1, ""scheduler"": ""cosine"", ""min_learning_rate"": 1e-06, ""amp"": true, ""grad_clip_norm"": 1.0, ""early_stopping_patience"": 6, ""monitor"": ""qwk"", ""monitor_mode"": ""max"", ""log_every_n_steps"": 50, ""num_classes"": 5, ""seed"": 1, ""show_progress"": true, ""effective_batch_size"": 32, ""method"": ""erm"", ""imbalance_strategy"": ""none"", ""ordinal"": false, ""domain_generalization"": ""none"", ""backbone"": ""densenet121"", ""pretrained"": true, ""head"": ""linear"", ""dropout"": 0.2, ""image_size"": 224, ""trainable_blocks"": null, ""mixstyle"": false, ""strategy"": ""none"", ""label_smoothing"": 0.0, ""loss"": ""cross_entropy"", ""prediction_rule"": ""argmax_softmax""}","Stage C method comparison, batch 32, 1 seed; temperature fitted on source validation only; components={}",False,500.0,-1.0
lodo_aptos-ddr__idrid_densenet121_ordinal-b32_s1,2026-08-19T21:09:47+00:00,COMPLETE,lodo,"[""ddr"", ""aptos""]",idrid,densenet121,ordinal_coral,ordinal,coral_ordinal,none,224,32,1.0,32.0,0.0003,0.0001,20.0,20.0,1,False,11506.0,2206.0,507.0,19.0,0.859130929678854,0.925970246232506,D:\Research Code\dr_domain_generalization\outputs\checkpoints\lodo_aptos-ddr__idrid_densenet121_ordinal-b32_s1\best_qwk.pt,0.6562703910924766,0.3939654951884289,0.5542406311637081,0.4356745408942369,0.6706114398422091,0.7869822485207101,0.2130177514792899,0.8169358919887493,0.0684969367007532,1.605772598898645,0.6325483310529472,1067.7,2.2,6.95,6.95,D:\Research Code\dr_domain_generalization\outputs\predictions\lodo_aptos-ddr__idrid_densenet121_ordinal-b32_s1__target_test[idrid]_predictions.csv,D:\Research Code\dr_domain_generalization\outputs\logs\lodo_aptos-ddr__idrid_densenet121_ordinal-b32_s1_history.csv,"{""epochs"": 20, ""batch_size"": 32, ""accumulation_steps"": 1, ""learning_rate"": 0.0003, ""head_learning_rate"": null, ""weight_decay"": 0.0001, ""warmup_epochs"": 1, ""scheduler"": ""cosine"", ""min_learning_rate"": 1e-06, ""amp"": true, ""grad_clip_norm"": 1.0, ""early_stopping_patience"": 6, ""monitor"": ""qwk"", ""monitor_mode"": ""max"", ""log_every_n_steps"": 50, ""num_classes"": 5, ""seed"": 1, ""show_progress"": true, ""effective_batch_size"": 32, ""method"": ""ordinal"", ""imbalance_strategy"": ""none"", ""ordinal"": true, ""domain_generalization"": ""none"", ""backbone"": ""densenet121"", ""pretrained"": true, ""head"": ""ordinal_coral"", ""dropout"": 0.2, ""image_size"": 224, ""trainable_blocks"": null, ""mixstyle"": false, ""loss"": ""coral_ordinal"", ""prediction_rule"": ""coral_threshold_count""}","Stage C method comparison, batch 32, 1 seed; temperature fitted on source validation only; components={}",False,500.0,-1.0
lodo_aptos-ddr__idrid_densenet121_deep-coral-b32_s1,2026-08-19T21:27:57+00:00,COMPLETE,lodo,"[""ddr"", ""aptos""]",idrid,densenet121,linear,deep_coral,cross_entropy,none,224,32,1.0,32.0,0.0003,0.0001,20.0,20.0,1,False,11506.0,2206.0,507.0,17.0,0.8805575788365687,0.4566638180041227,D:\Research Code\dr_domain_generalization\outputs\checkpoints\lodo_aptos-ddr__idrid_densenet121_deep-coral-b32_s1\best_qwk.pt,0.6657205673654566,0.4081272552188263,0.4930966469428008,0.4500323678495347,0.6666666666666666,0.8658777120315582,0.1341222879684418,0.8449206506757923,0.3557419977949921,1.9567788024900816,0.7836939784355976,1081.0,2.29,6.96,6.96,D:\Research Code\dr_domain_generalization\outputs\predictions\lodo_aptos-ddr__idrid_densenet121_deep-coral-b32_s1__target_test[idrid]_predictions.csv,D:\Research Code\dr_domain_generalization\outputs\logs\lodo_aptos-ddr__idrid_densenet121_deep-coral-b32_s1_history.csv,"{""epochs"": 20, ""batch_size"": 32, ""accumulation_steps"": 1, ""learning_rate"": 0.0003, ""head_learning_rate"": null, ""weight_decay"": 0.0001, ""warmup_epochs"": 1, ""scheduler"": ""cosine"", ""min_learning_rate"": 1e-06, ""amp"": true, ""grad_clip_norm"": 1.0, ""early_stopping_patience"": 6, ""monitor"": ""qwk"", ""monitor_mode"": ""max"", ""log_every_n_steps"": 50, ""num_classes"": 5, ""seed"": 1, ""show_progress"": true, ""effective_batch_size"": 32, ""method"": ""deep_coral"", ""imbalance_strategy"": ""none"", ""ordinal"": false, ""domain_generalization"": ""deep_coral"", ""coral_lambda"": 1.0, ""backbone"": ""densenet121"", ""pretrained"": true, ""head"": ""linear"", ""dropout"": 0.2, ""image_size"": 224, ""trainable_blocks"": null, ""mixstyle"": false, ""strategy"": ""none"", ""label_smoothing"": 0.0, ""loss"": ""cross_entropy"", ""prediction_rule"": ""argmax_softmax"", ""feature_loss"": ""deep_coral""}","Stage C method comparison, batch 32, 1 seed; temperature fitted on source validation only; components={'deep_coral': {'lambda': 1.0, 'min_samples_per_domain': 4, 'batches_seen': 7180, 'degenerate_batches': 206, 'degenerate_fraction': 0.0287}}",False,500.0,-1.0
