domain,protocol,seed_set,n_seeds,n_test,ImageNet_QWK_mean,ImageNet_QWK_sd,RETFound_QWK_mean,RETFound_QWK_sd,paired_delta,paired_seed_SD,crossed_CI_low,crossed_CI_high,raw_p,adjusted_p,sign_agreement,sign_flip_p,inference_status
DDR,frozen,all-10,10,12424,0.5755506128044837,0.020977019945073495,0.5129600982498004,0.007124464635351864,0.06259051455468326,0.025453323093293186,0.044017067067297466,0.08243764350136967,2.7748377920971484e-05,,10/10,0.001953125,"descriptive, uncorrected"
DDR,frozen,common-5,5,12424,0.5805236416464573,0.022499757351306656,0.510349932434659,0.00930355321924473,0.0701737092117984,0.029027705619773473,0.04683523863626928,0.09776406748614032,0.0056708968338708325,,5/5,0.0625,"descriptive, uncorrected"
DDR,partial,common-5,5,12424,0.7182910702741901,0.013566468196733055,0.6966145348541412,0.015686429172339676,0.021676535420049013,0.026387097390260444,-0.0004257549599154257,0.04379278740679277,0.14010285336956046,,3/5,0.25,"descriptive, uncorrected"
DDR,full,common-5,5,12424,0.6208840275065914,0.046732124672456826,0.664796471741378,0.011997005760104368,-0.04391244423478653,0.04672130010410063,-0.08605095324159591,-0.01025336502143337,0.10346194386212988,,4/5,0.125,primary model comparison; no difference demonstrated (not equivalence)
APTOS,frozen,all-10,10,3504,0.5963037811810483,0.050627712268481624,0.48291273956447656,0.019175959647388087,0.1133910416165719,0.05472496248098906,0.07866151211936748,0.1492729008202476,0.0001048925760636252,,10/10,0.001953125,"descriptive, uncorrected"
APTOS,frozen,common-5,5,3504,0.5871567136029365,0.056401375451707404,0.47964081473526904,0.01672806821026336,0.10751589886766746,0.055125616887632636,0.06229075137726637,0.15361344743684868,0.012050968224648233,,5/5,0.0625,"descriptive, uncorrected"
APTOS,partial,common-5,5,3504,0.8333583773658946,0.016913691870293773,0.8261079747326592,0.008282816357682592,0.007250402633235131,0.017259189186328336,-0.010724583717430016,0.023391751779997593,0.400735804990078,,4/5,0.375,"descriptive, uncorrected"
APTOS,full,common-5,5,3504,0.8123285190281779,0.01703699070379438,0.8040209298790735,0.012119992171517645,0.008307589149104233,0.017522593278696923,-0.009462680208489324,0.025798070587961717,0.3488527161084221,,4/5,0.3125,primary model comparison; no difference demonstrated (not equivalence)
IDRiD,frozen,all-10,10,507,0.636331554100234,0.03529353737951024,0.6792095924404611,0.024880256709616185,-0.0428780383402272,0.034395206604805696,-0.08877855303977275,0.003676918899713941,0.0033946938832987174,,9/10,0.005859375,"descriptive, uncorrected"
IDRiD,frozen,common-5,5,507,0.6275489400763057,0.026390974202750626,0.6701182261167287,0.031828175803445186,-0.04256928604042291,0.0342033938177054,-0.09592805167191414,0.01306739557713139,0.04966627822250798,,5/5,0.0625,"descriptive, uncorrected"
IDRiD,partial,common-5,5,507,0.7254301251908498,0.015826509309516446,0.7675522602771083,0.03248889007644493,-0.042122135086258464,0.037368788404018534,-0.08786267443388207,0.0043757568382767524,0.06532210308411382,,5/5,0.0625,"descriptive, uncorrected"
