domain,protocol,arm,seed,n,referable_prevalence,sensitivity,specificity,precision_ppv,f1,auroc
DDR,frozen,ImageNet-MAE,42,12424,0.45283322601416615,0.5223960184856026,0.9170344218887908,0.8389951470168427,0.6438821338591302,0.8167958790916003
DDR,frozen,ImageNet-MAE,1,12424,0.45283322601416615,0.4880910060433701,0.9489555751691674,0.8878111865502748,0.6298887487097143,0.8227187122537767
DDR,frozen,ImageNet-MAE,2,12424,0.45283322601416615,0.5131532172058301,0.9476316563695204,0.8902251002158496,0.6510316833915887,0.8253842512597807
DDR,frozen,ImageNet-MAE,3,12424,0.45283322601416615,0.540348382509776,0.9195351573992351,0.8475048787287427,0.6599370454792142,0.8274352873699181
DDR,frozen,ImageNet-MAE,4,12424,0.45283322601416615,0.5620334162815499,0.9318917328626066,0.8722758620689656,0.683601772781321,0.8495634838334647
DDR,frozen,RETFound,42,12424,0.45283322601416615,0.42054745822964806,0.9436598999705795,0.8606766096762459,0.5650149253731344,0.7775662150271713
DDR,frozen,RETFound,1,12424,0.45283322601416615,0.44525417703519377,0.9342453662842012,0.8485772357723578,0.5840522266262532,0.7837192972107498
DDR,frozen,RETFound,2,12424,0.45283322601416615,0.4511198009242801,0.9265960576640189,0.8356931182087587,0.5859402054715456,0.7736540995568948
DDR,frozen,RETFound,3,12424,0.45283322601416615,0.43263419836473516,0.9354221829949986,0.8471980508179603,0.5727732674432287,0.7735544016783339
DDR,frozen,RETFound,4,12424,0.45283322601416615,0.4262353359402773,0.9368932038834952,0.8482490272373541,0.5673725304625578,0.7797045815633235
DDR,full,ImageNet-MAE,42,12424,0.45283322601416615,0.6535726981869889,0.9274786701971168,0.8817745803357314,0.7507145773785219,0.8639806390014335
DDR,full,ImageNet-MAE,1,12424,0.45283322601416615,0.5341272662637754,0.9146807884671962,0.8382147838214784,0.6524807295624796,0.8155196521174177
DDR,full,ImageNet-MAE,2,12424,0.45283322601416615,0.6304656949875578,0.922182994998529,0.870215897939156,0.7311894454751597,0.8328973871677822
DDR,full,ImageNet-MAE,3,12424,0.45283322601416615,0.6505510131532172,0.9454251250367756,0.9079632845447779,0.7579993786890338,0.8611229992050315
DDR,full,ImageNet-MAE,4,12424,0.45283322601416615,0.6352648418059011,0.9389526331273904,0.8959639007269993,0.7434217368694747,0.844482238821627
DDR,full,RETFound,42,12424,0.45283322601416615,0.6580163526484181,0.9198293615769344,0.8716741229102896,0.7499240352476452,0.8453656357597491
DDR,full,RETFound,1,12424,0.45283322601416615,0.6322431567721294,0.9264489555751692,0.8767562238106975,0.7346896622947434,0.8428713323705023
DDR,full,RETFound,2,12424,0.45283322601416615,0.6215783860646996,0.9445425125036776,0.9026845637583892,0.7362105263157894,0.8420724942939762
DDR,full,RETFound,3,12424,0.45283322601416615,0.5611446853892641,0.9567519858781994,0.9148073022312373,0.6956042745400463,0.8235841986105155
DDR,full,RETFound,4,12424,0.45283322601416615,0.6240668325630999,0.9489555751691674,0.910057024364956,0.7404048924504429,0.861957449269651
APTOS,frozen,ImageNet-MAE,42,3504,0.3909817351598174,0.9781021897810219,0.5998125585754451,0.6107566089334548,0.7519640852974185,0.9513989697562577
APTOS,frozen,ImageNet-MAE,1,3504,0.3909817351598174,0.9868613138686131,0.4006560449859419,0.5138730520714557,0.6758310422394401,0.9419875631930715
APTOS,frozen,ImageNet-MAE,2,3504,0.3909817351598174,0.9759124087591241,0.44470477975632616,0.5301348136399683,0.6870503597122303,0.9365910972164265
APTOS,frozen,ImageNet-MAE,3,3504,0.3909817351598174,0.983941605839416,0.5454545454545454,0.5815358067299397,0.7310195227765727,0.9513343229875701
APTOS,frozen,ImageNet-MAE,4,3504,0.3909817351598174,0.9737226277372263,0.450796626054358,0.5323224261771747,0.6883384932920537,0.9345282154071378
APTOS,frozen,RETFound,42,3504,0.3909817351598174,0.9708029197080292,0.3177132146204311,0.47738693467336685,0.6400384985563042,0.8951070263170496
APTOS,frozen,RETFound,1,3504,0.3909817351598174,0.9788321167883212,0.28865979381443296,0.4690451206715635,0.6341924804918421,0.9046494366495872
APTOS,frozen,RETFound,2,3504,0.3909817351598174,0.9817518248175182,0.3500468603561387,0.49231332357247437,0.6557776694295465,0.9155791871609467
APTOS,frozen,RETFound,3,3504,0.3909817351598174,0.9854014598540146,0.3537956888472352,0.4946866984243313,0.6586972432300562,0.8766156561475997
