domain,protocol,model,seed,experiment_id,in_registry,status,epochs_run,epochs_planned,best_epoch,train_seconds,n_test,predictions_sha256
ddr,frozen,ImageNet-MAE,42,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s42,True,COMPLETE,80,200,-1,66.3,12424,0b0ad4b07d596bf64a0267a0bf662baa52cd86f1d256b4150468bd3dd7bb20d8
ddr,frozen,ImageNet-MAE,1,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s1,True,COMPLETE,114,200,-1,89.6,12424,98f5b6eef1319ea188f47fd1b9eed852d6f40fddb0e2eb6d51627ba4c2c56625
ddr,frozen,ImageNet-MAE,2,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s2,True,COMPLETE,126,200,-1,102.1,12424,aab63337b720c9d63d0ece956ff5606d7f1c177e89edeffe9d442982519243c7
ddr,frozen,ImageNet-MAE,3,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s3,True,COMPLETE,129,200,-1,51.0,12424,51721c661d0e315ac2fc3b53492e0b8e8fe17a2601d1b10ead3e4eb397c34fc6
ddr,frozen,ImageNet-MAE,4,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s4,True,COMPLETE,66,200,-1,26.7,12424,a5fed143125676d85fa1db73c042ac22ab231bdaca625e014bd4b38a916f35d5
ddr,frozen,ImageNet-MAE,5,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s5,True,COMPLETE,152,200,-1,58.5,12424,5e32eefe2c6d5020f8ec415bdb36b91b820c60cec9437313a9469b29cfedb9f8
ddr,frozen,ImageNet-MAE,6,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s6,True,COMPLETE,111,200,-1,42.6,12424,594c4f9847a52d3bb9b2d0e023c2f116af3152e0be16cb616b7d130e652f601f
ddr,frozen,ImageNet-MAE,7,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s7,True,COMPLETE,64,200,-1,24.6,12424,b124be0cf97c5ec25405270675e08112766025e2b989c6250c77cc7d74a88ab1
ddr,frozen,ImageNet-MAE,8,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s8,True,COMPLETE,110,200,-1,42.0,12424,9a9ac4dcec6927d8a26087f1811496ad5aca61f051bf7d092c154405792c602d
ddr,frozen,ImageNet-MAE,9,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s9,True,COMPLETE,98,200,-1,37.6,12424,3d57bdb5f99de378d45e5644839fc26f11eb9c6119031f139960a2abdf104dcb
