label,difference,ci_lower,ci_upper,p_value,uncorrected_significant,n,rank,threshold,p_adjusted,survives_holm
stage_c: ordinal vs erm (QWK),-0.08832707638419723,-0.13709237442100297,-0.04154401030440138,0.0,True,507,1,0.0038461538461538464,0.0,True
stage_c: deep_coral vs erm (QWK),-0.0883175121726616,-0.13686814270688544,-0.04422550724449574,0.0,True,507,2,0.004166666666666667,0.0,True
stage_c: mixstyle vs erm (QWK),-0.10958249013735699,-0.16255589770136628,-0.06226062469360563,0.0,True,507,3,0.004545454545454546,0.0,True
stage_c: mixstyle_ordinal vs erm (QWK),-0.09055997211893962,-0.14023213802078976,-0.04457958136620662,0.0,True,507,4,0.005,0.0,True
stage_c: deep_coral_ordinal vs erm (QWK),-0.08213767458642707,-0.1302211709391029,-0.03924503889817411,0.0,True,507,5,0.005555555555555556,0.0,True
deployment cost: ddr lodo vs in-domain (QWK),-0.14694708660992672,-0.1760364868261774,-0.11643594224642129,0.0,True,1862,6,0.00625,0.0,True
multi-source: eyepacs 3-source vs aptos-only (QWK),-0.024836108853922734,-0.037658245590829406,-0.012498774139487833,0.0,True,35108,7,0.0071428571428571435,0.0,True
deployment cost: eyepacs lodo vs in-domain (QWK),-0.3018019202067467,-0.32999304340612895,-0.27506201571102357,0.0,True,5268,8,0.008333333333333333,0.0,True
deployment cost: aptos lodo vs in-domain (QWK),-0.03487840920340368,-0.07325652804636124,0.0035192696839303236,0.075,False,354,9,0.01,0.375,False
deployment cost: idrid lodo vs in-domain (QWK),0.07777827663802472,-0.09046384806485254,0.25980079052110044,0.389,False,102,10,0.0125,1.0,False
multi-source: aptos 3-source vs eyepacs-only (QWK),0.0033678929817709813,-0.008063413974522978,0.015879894312452406,0.547,False,3504,11,0.016666666666666666,1.0,False
multi-source: ddr 3-source vs eyepacs-only (QWK),0.0020266924713309153,-0.007647154579228927,0.011359261926649806,0.677,False,12424,12,0.025,1.0,False
multi-source: idrid 3-source vs eyepacs-only (QWK),-0.0017453710935391165,-0.04879663923730665,0.04315447857650996,0.938,False,507,13,0.05,1.0,False
