domain,protocol,seed,imagenet_qwk,retfound_qwk,delta,n_test
DDR,frozen,42,0.5553028841123306,0.507633325894162,0.04766955821816865,12424
DDR,frozen,1,0.568320160774304,0.516639228682927,0.05168093209137703,12424
DDR,frozen,2,0.5848099849469839,0.5185105237406347,0.06629946120634922,12424
DDR,frozen,3,0.5787553050142569,0.513534784055661,0.06522052095859587,12424
DDR,frozen,4,0.6154298733844112,0.49543179979991003,0.11999807358450121,12424
DDR,partial,42,0.7326644104131952,0.6863503960371167,0.046314014376078516,12424
DDR,partial,1,0.7125532622432829,0.7161385185464861,-0.003585256303203277,12424
DDR,partial,2,0.7264336008191711,0.6758462750395593,0.05058732577961178,12424
DDR,partial,3,0.697868161918415,0.7026648275379701,-0.004796665619555052,12424
DDR,partial,4,0.7219359159768866,0.7020726571095735,0.019863258867313105,12424
DDR,full,42,0.6494362203634365,0.6706043418404896,-0.021168121477053048,12424
DDR,full,1,0.5427635128445425,0.6607200072527832,-0.11795649440824074,12424
DDR,full,2,0.6119065376660113,0.6656839880337522,-0.05377745036774084,12424
DDR,full,3,0.6535570820865811,0.6473447276509054,0.006212354435675693,12424
DDR,full,4,0.6467567845723857,0.6796292939289594,-0.03287250935657371,12424
APTOS,frozen,42,0.6674198522297212,0.4756312842745314,0.19178856795518984,3504
APTOS,frozen,1,0.5303265019328351,0.46476691278172,0.06555958915111515,3504
APTOS,frozen,2,0.5555357813261765,0.49999867080269245,0.05553711052348409,3504
APTOS,frozen,3,0.6230250074200929,0.4941757099036954,0.1288492975163975,3504
APTOS,frozen,4,0.5594764251058568,0.4636314959137061,0.09584492919215071,3504
APTOS,partial,42,0.8439735353971268,0.8287685236769553,0.015205011720171524,3504
APTOS,partial,1,0.8220321666469518,0.8161312203363186,0.005900946310633204,3504
APTOS,partial,2,0.8449281721315576,0.8193378614288973,0.02559031070266027,3504
APTOS,partial,3,0.8090807839866321,0.8297777518242218,-0.020696967837589675,3504
APTOS,partial,4,0.8467772286672044,0.8365245163969041,0.010252712270300335,3504
APTOS,full,42,0.807483897661259,0.822088745600913,-0.014604847939653998,3504
APTOS,full,1,0.8110860981047242,0.7930622141753332,0.018023883929391027,3504
APTOS,full,2,0.8400176182585318,0.8084724325070871,0.031545185751444715,3504
APTOS,full,3,0.793280927794909,0.7930253728720179,0.00025555492289108805,3504
APTOS,full,4,0.8097740533214648,0.8034558842400165,0.006318169081448333,3504
