target,method,seed,backbone,image_size,batch_size,n_train,n_test,source_qwk,target_qwk,source_f1,target_f1,source_ece,target_ece,target_ece_scaled,target_severe,temperature,seconds,domain_balanced
aptos,erm,1,convnext_tiny,224,32,33606,3504,0.8050663070321704,0.8868813413888853,0.5822917078426915,0.5319428488392524,0.0340105758543031,0.0757045480996779,0.0420928076485763,0.0470890410958904,1.176,1715.2,False
ddr,erm,1,convnext_tiny,224,32,27718,12424,0.7668118848679315,0.7507311254590933,0.5589381772019839,0.5216049635809848,0.0818239582011202,0.1319318447053356,0.0476919344633754,0.1481809401159047,1.5673,1705.9,False
eyepacs,erm,1,convnext_tiny,224,32,11841,35108,0.8990412911266776,0.4799554254528262,0.6917808928048139,0.3961857050827601,0.119182948906937,0.3014779821101063,0.1537033987512605,0.1967073031787626,3.2292,841.9,False
idrid,erm,1,convnext_tiny,224,32,36080,507,0.8226377070374024,0.7765870671954547,0.5981606565106408,0.4809183398300572,0.1414292200450531,0.3543044096501855,0.1796686607861533,0.0848126232741617,3.1384,2521.1,False
aptos,erm,2,convnext_tiny,224,32,33606,3504,0.8113930423943497,0.8716720199766259,0.5974483294680366,0.5076453654320053,0.1193315262447511,0.2051298911066632,0.0717373418926592,0.0565068493150684,2.406,2411.3,False
ddr,erm,2,convnext_tiny,224,32,27718,12424,0.7691991826114245,0.7822086172029288,0.5422165302842861,0.5215109494303773,0.0598099950660969,0.0799442776008068,0.026801743144403,0.1272537025112685,1.3385,1550.4,False
eyepacs,erm,2,convnext_tiny,224,32,11841,35108,0.8971541301021567,0.4640830309909796,0.6825250966761283,0.3917306898807378,0.1234779141070763,0.3377442409515625,0.1908646848857356,0.1916942007519653,3.1494,869.9,False
idrid,erm,2,convnext_tiny,224,32,36080,507,0.8101970189451633,0.8275831572430741,0.5777172383180096,0.5239673142729726,0.0704912473058738,0.1601023679301583,0.0716471505727517,0.0867850098619329,1.4748,2201.9,False
aptos,erm,42,convnext_tiny,224,32,33606,3504,0.81199720625317,0.8657165482949256,0.595583614940586,0.4979301534656873,0.0951522487473962,0.1936342395976028,0.0842574067633652,0.0607876712328767,1.896483737651588,2343.0,False
ddr,erm,42,convnext_tiny,224,32,27718,12424,0.7714738742441193,0.7579602275745819,0.5624499223006275,0.5098926966217647,0.0595880183952791,0.1309857238055376,0.0571124211881372,0.1500321957501609,1.4287715254661395,1684.7,False
eyepacs,erm,42,convnext_tiny,224,32,11841,35108,0.8946476729864147,0.4662426315795991,0.6615308784630577,0.4114018447463629,0.110909759986819,0.3009630061162698,0.165461405991307,0.2122023470434089,2.394054580615928,805.9,False
idrid,erm,42,convnext_tiny,224,32,36080,507,0.8162270902170541,0.7796524412789227,0.5862131893313492,0.4957505998210751,0.0651118303586723,0.2056737876134122,0.1180310958038709,0.1025641025641025,1.480849694084711,2243.6,False
aptos,erm,1,densenet121,224,32,33606,3504,0.796818760433533,0.8643722137155393,0.595644224996648,0.4894003378859143,0.0599794215233995,0.1320744215039954,0.04689014233304,0.0573630136986301,1.5013982835776594,3028.2,False
ddr,erm,1,densenet121,224,32,27718,12424,0.749445800374859,0.73731890029277,0.5485620506612335,0.5152897711388187,0.0729701129734014,0.12185488299179,0.0431144943422673,0.1581616226658081,1.618292336275053,2150.2,False
ddr,deep_coral,1,densenet121,224,32,27718,12424,0.7420832990637212,0.7266264594484644,0.5476836861761865,0.5150992871733815,0.073028267049361,0.1228114051380928,0.0369060823473688,0.1687057308435286,1.5682,1974.7,False
ddr,groupdro,1,densenet121,224,32,27718,12424,0.7451716321334214,0.7241857178652134,0.5466836284171135,0.5038377074012748,0.0737666319337175,0.1286351803380754,0.0454294858745685,0.164278815196394,1.5926,1950.3,False
eyepacs,erm,1,densenet121,224,32,11841,35108,0.8810515962543178,0.4128392419538164,0.6836814231467955,0.3778419878161185,0.0831753903207381,0.288959637792526,0.1756513555936227,0.2362139683263074,1.862590180005996,820.4,False
eyepacs,deep_coral,1,densenet121,224,32,11841,35108,0.8928311354793478,0.4102419969927829,0.6911187392324736,0.3729702315619744,0.0784655114233179,0.2909218088765207,0.1946286425522782,0.236043067107212,1.7243,859.3,False
eyepacs,mixstyle,1,densenet121,224,32,11841,35108,0.8744061759155347,0.3888158689107657,0.6744485716496781,0.3601173278851467,0.0596260872320886,0.2632510733796107,0.1716846060994084,0.2529907713341688,1.575,1047.7,False
eyepacs,groupdro,1,densenet121,224,32,11841,35108,0.8802797807392757,0.4130130808433615,0.682710505675003,0.3774595403413521,0.0795842133239827,0.2905385221097984,0.1898585526254426,0.2365557707644981,1.8184,1165.4,False
eyepacs,irm,1,densenet121,224,32,11841,35108,0.7255272300917364,0.3226143087920542,0.487321065048853,0.2924383860074189,0.0430556492641018,0.0394663395315758,0.0736306055372962,0.2993904523185599,0.8857,441.5,False
eyepacs,erm,1,densenet121,224,32,11841,35108,0.8321084577653932,0.3221882485812776,0.603105614765857,0.3439147243159256,0.1171848497014682,0.3542185153888992,0.2110849714061251,0.3227469522615928,2.1864,729.3,True
eyepacs,deep_coral,1,densenet121,224,32,11841,35108,0.8562314963310296,0.3851872827958761,0.6214808208143244,0.351596014297563,0.130441487804448,0.3278780656110063,0.1814088647212758,0.2456705024495841,2.5972,1097.8,True
eyepacs,mixstyle,1,densenet121,224,32,11841,35108,0.8546064553449852,0.3657610144559587,0.6054844041843758,0.341430318468086,0.1157827785726381,0.3034526351973002,0.1617413502104275,0.2568930158368463,2.2554,1211.6,True
eyepacs,groupdro,1,densenet121,224,32,11841,35108,0.8598152795443867,0.3918296492205989,0.635734337392689,0.3568373755011523,0.1210664883648784,0.3183385229912396,0.1685060783993954,0.2531047054802324,2.5164,1172.8,True
eyepacs,irm,1,densenet121,224,32,11841,35108,0.6858878619267361,0.3353796126801166,0.4638610131729347,0.2908799793845411,0.034927839986155,0.1232160100588375,0.105890245009787,0.2920132163609433,1.0677,443.2,True
idrid,erm,1,densenet121,224,32,36080,507,0.8033965340846164,0.7131546584545334,0.5794727326085749,0.4562721432357708,0.0710195206986081,0.2456942721696252,0.1397018498552008,0.1242603550295858,1.607208868390954,2474.4,False
aptos,erm,2,densenet121,224,32,33606,3504,0.7865211337035627,0.8536670792665986,0.5929848177017696,0.4889355768797104,0.0746752595445076,0.1315693806934931,0.0317141007058154,0.0690639269406392,1.644053242840884,3144.3,False
ddr,erm,2,densenet121,224,32,27718,12424,0.7451583399100143,0.7442602721350223,0.5541384626320676,0.5197060660716792,0.0789698449674124,0.1287123798832904,0.0433885060030365,0.1547005795235028,1.6870695371183253,1904.8,False
ddr,deep_coral,2,densenet121,224,32,27718,12424,0.7511961242459044,0.737733568861509,0.5587899728898262,0.5228471533118004,0.0746262129478226,0.1300225327150021,0.0438510454247607,0.1584835801674179,1.6294,1982.0,False
ddr,groupdro,2,densenet121,224,32,27718,12424,0.7388037470918047,0.7417255943774264,0.5235227184791438,0.517808136570224,0.0617744537785331,0.0989386298299718,0.0447241454200849,0.1596104314230521,1.4894,1952.8,False
eyepacs,erm,2,densenet121,224,32,11841,35108,0.8848500887325259,0.4236528449876562,0.6709843342385484,0.3815776931708503,0.0800068391652021,0.2760148987190954,0.1631115229900171,0.2406289164862709,1.9159502312081336,1097.7,False
eyepacs,deep_coral,2,densenet121,224,32,11841,35108,0.8902804666937948,0.4410150175364472,0.6858181170427196,0.386922599614708,0.0828069040194966,0.2586069296270021,0.1549732496981482,0.2151646348410618,1.8203,893.7,False
