target,method,seed,backbone,image_size,batch_size,n_train,n_test,source_qwk,target_qwk,source_f1,target_f1,source_ece,target_ece,target_ece_scaled,target_severe,temperature,seconds,domain_balanced
aptos,erm,1,densenet121,512,16,33606,3504,0.8618695156645362,0.8689621681366406,0.678131204301708,0.5067884414584846,0.0493941772250628,0.1398039758290465,0.0745600109819202,0.0602168949771689,1.4658,10964.1,False
ddr,erm,1,densenet121,512,16,27718,12424,0.8342027530890511,0.7725354074684295,0.6375983104387889,0.595213417059805,0.038171597989235,0.0930335092557988,0.0499941854084452,0.1369929169349646,1.3166,9028.1,False
eyepacs,erm,1,densenet121,512,16,11841,35108,0.91105000126423,0.494900606515202,0.7315578259953778,0.4160513672883185,0.0521567730341099,0.2400870783186806,0.1647274903902272,0.2015779879229805,1.5909,3966.1,False
idrid,erm,1,densenet121,512,16,36080,507,0.8618110641591357,0.8307068615454949,0.6708622598668313,0.5660623574538669,0.0472378169347948,0.143259010724062,0.0781929181402395,0.0611439842209073,1.4335,12094.0,False
aptos,erm,2,densenet121,512,16,33606,3504,0.8559882470730509,0.8753714157716053,0.6785906130445246,0.5056141224759361,0.0435590860479789,0.1412812442897253,0.0831583586648122,0.0530821917808219,1.4031,11061.5,False
ddr,erm,2,densenet121,512,16,27718,12424,0.8229602569705912,0.77867849118807,0.6091444748903322,0.6020446813453161,0.057046304895400315,0.10361037171384016,0.04816662321565844,0.13562459755312298,1.4703,8910.7,False
eyepacs,erm,2,densenet121,512,16,11841,35108,0.9154006345638072,0.5121885236981156,0.744997655039204,0.4261970454100757,0.0547904567580231,0.2426819286334755,0.1575451198731576,0.1762846074968668,1.7092,3791.5,False
idrid,erm,2,densenet121,512,16,36080,507,0.8622548727474231,0.8344793124125525,0.6746334513105556,0.5691837108286846,0.0530284313680464,0.1326265135813041,0.0720285071472187,0.0552268244575936,1.5155,11662.1,False
aptos,erm,42,densenet121,512,16,33606,3504,0.8572708405889412,0.879172125493864,0.6753677977848545,0.5262417205524257,0.057948650705071,0.134623251396091,0.0626048688720667,0.0510844748858447,1.5302,11383.6,False
ddr,erm,42,densenet121,512,16,27718,12424,0.8250852722127269,0.7794938598158747,0.6294655149930388,0.5950743965800583,0.0527246782471853,0.1029621797799104,0.047983828005772,0.129507405022537,1.4584,11583.0,False
eyepacs,erm,42,densenet121,512,16,11841,35108,0.9051351367024404,0.527339598765417,0.7423197812733551,0.4340403431410792,0.0548855962071351,0.2189480821399695,0.1345836646132932,0.1687649538566708,1.6751,3774.2,False
idrid,erm,42,densenet121,512,16,36080,507,0.8584686234897592,0.8227760036109292,0.6750373316859235,0.5393766638268052,0.0441579218810261,0.1537885534222544,0.086954470924958,0.0670611439842209,1.4097,12102.4,False
