source,target,method,seed,n_train,n_test,source_qwk,target_qwk,target_f1,target_ece,target_ece_scaled,target_severe
ddr,aptos,erm,42,8697,3504,0.8742515296979094,0.7818461513808879,0.4454740634910418,0.1946975495921422,0.1108872041199102,0.1110159817351598
ddr,idrid,erm,42,8697,507,0.8742515296979094,0.600082482812744,0.4303135683026747,0.3496841588434147,0.2418670885025619,0.2228796844181459
ddr,eyepacs,erm,42,8697,35108,0.8742515296979094,0.3719995698302812,0.3477744605702286,0.290389256548254,0.1856360456624899,0.2762618206676541
aptos,ddr,erm,42,2809,12424,0.8782411170790632,0.568024097720836,0.3795407380373671,0.2893242292988899,0.2260793533801198,0.285656793303284
aptos,idrid,erm,42,2809,507,0.8782411170790632,0.7227717850574141,0.4164210242883618,0.3074327164147732,0.1853660475121657,0.1065088757396449
aptos,eyepacs,erm,42,2809,35108,0.8782411170790632,0.4325489360828797,0.344154354895206,0.2176625055605918,0.155326260318363,0.161473168508602
idrid,ddr,erm,42,335,12424,0.8276923076923077,0.5155680962703995,0.356314259003797,0.1740754778039355,0.1039909041935046,0.309079201545396
idrid,aptos,erm,42,335,3504,0.8276923076923077,0.5970980914819061,0.3256186792833572,0.1439802577489451,0.06886895928738,0.2334474885844749
idrid,eyepacs,erm,42,335,35108,0.8276923076923077,0.2361115292701627,0.2591310473202676,0.1504776515758457,0.0681285732631459,0.2368690896661729
eyepacs,ddr,erm,42,24574,12424,0.7116412627489088,0.7313452983951589,0.4958229194773673,0.1298261034876319,0.0401995944931118,0.1681423052157115
eyepacs,aptos,erm,42,24574,3504,0.7116412627489088,0.8557174339718262,0.4745755008799676,0.1393571016740173,0.0488644942781015,0.0670662100456621
eyepacs,idrid,erm,42,24574,507,0.7116412627489088,0.7560023528153574,0.4813016416492998,0.1577555034640273,0.075449491157399,0.1518737672583826
ddr,aptos,erm,1,8697,3504,0.871403828315893,0.774292670231983,0.4427294839137689,0.20737447877112591,0.09996405210023152,0.11329908675799087
ddr,idrid,erm,1,8697,507,0.871403828315893,0.5858890957075273,0.4446116983140739,0.3409390325494537,0.2141002784080064,0.21301775147928995
ddr,eyepacs,erm,1,8697,35108,0.871403828315893,0.3731132052725289,0.34002111000338625,0.3149948208960501,0.1978661586512842,0.2662640993505754
aptos,ddr,erm,1,2809,12424,0.8982512500034858,0.5609743551865459,0.3952047350427501,0.24373172204017987,0.20041652791233827,0.27664198325820993
aptos,idrid,erm,1,2809,507,0.8982512500034858,0.6852837260145621,0.3584088725507052,0.3284630021282437,0.2489309019293899,0.10650887573964497
aptos,eyepacs,erm,1,2809,35108,0.8982512500034858,0.42336023610044826,0.35792864779473854,0.1874247878438467,0.13901704341969584,0.1831491397971972
idrid,ddr,erm,1,335,12424,0.8011363636363636,0.49577693567740055,0.3372028122706731,0.14542388979583037,0.10281747580432007,0.304571796522859
idrid,aptos,erm,1,335,3504,0.8011363636363636,0.5113233239000199,0.3183502586873264,0.15603885347168198,0.10377966246241238,0.2813926940639269
idrid,eyepacs,erm,1,335,35108,0.8011363636363636,0.22341223662960585,0.2589294933990761,0.12960423744847374,0.07903740865189993,0.2526489688959781
eyepacs,ddr,erm,1,24574,12424,0.7135274321041173,0.72707696148621,0.4937545087353182,0.11658579143002887,0.036605489134496697,0.16902768834513845
eyepacs,aptos,erm,1,24574,3504,0.7135274321041173,0.8506165432322249,0.46799520688852336,0.13695872901645426,0.055141105998837626,0.06763698630136987
eyepacs,idrid,erm,1,24574,507,0.7135274321041173,0.7087670657959163,0.48800071641336407,0.1497422432640836,0.061218513082696074,0.14990138067061143
ddr,aptos,erm,2,8697,3504,0.871983238912664,0.765606914366056,0.444157591065342,0.18081984923276453,0.09993094371734543,0.11757990867579908
ddr,idrid,erm,2,8697,507,0.871983238912664,0.5795075018237021,0.42751899006335314,0.31748830725455424,0.21489787314948405,0.21696252465483234
ddr,eyepacs,erm,2,8697,35108,0.871983238912664,0.35584660769325915,0.33984082102123475,0.2884999973572332,0.18814285772761935,0.2826706163837302
aptos,ddr,erm,2,2809,12424,0.895029325038074,0.5702291098865918,0.4094962237541466,0.2597925912682387,0.2080259427728571,0.2604636188023181
aptos,idrid,erm,2,2809,507,0.895029325038074,0.7014964537062784,0.4088016758654228,0.31749153442871875,0.2212501997466655,0.10848126232741617
aptos,eyepacs,erm,2,2809,35108,0.895029325038074,0.4361153149576996,0.34919512306786704,0.208995358150682,0.15582595390144074,0.15321294291899282
idrid,ddr,erm,2,335,12424,0.8119402985074626,0.5391218244877867,0.359837028313875,0.10183809769591132,0.08078983305971872,0.29080811332904055
idrid,aptos,erm,2,335,3504,0.8119402985074626,0.42133826586068146,0.29024751993517905,0.21578439203469454,0.1850600536370654,0.3527397260273973
idrid,eyepacs,erm,2,335,35108,0.8119402985074626,0.25752948892775185,0.26677720384958103,0.10987246885405078,0.08122258079633796,0.2652102084994873
eyepacs,ddr,erm,2,24574,12424,0.7285953441186288,0.735429014667069,0.5055306388549096,0.11798171414073169,0.04008588933343976,0.16162266580811332
eyepacs,aptos,erm,2,24574,3504,0.7285953441186288,0.8574778734120566,0.4729272358151202,0.13191259876063696,0.051455111857828785,0.06364155251141553
eyepacs,idrid,erm,2,24574,507,0.7285953441186288,0.7866627825115917,0.53313072941201,0.1087592112477244,0.03113482712014155,0.1282051282051282
