method,metric,difference,ci_lower,ci_upper,standard_error,significant,confidence_level,n_samples,n_bootstrap,n_failed_resamples,seed,note,n01_only_b_correct,n10_only_a_correct,n_discordant,statistic,p_value,significant_at_0.05
ordinal,qwk,-0.08832707638419723,-0.13709237442100297,-0.04154401030440138,0.023615936818888024,True,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
ordinal,f1_macro,-0.07431924522313171,-0.11966646408186238,-0.023618944551510285,0.02506862992941945,True,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
ordinal,ece,-0.20526680199211048,-0.24711376355029574,-0.13285328978500988,0.029473747480985208,True,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
chi-square with continuity correction,mcnemar_accuracy,,,,,,,,,,,tests exact-match accuracy only; ignores ordinal distance,68.0,52.0,120.0,1.875,0.17090352023079358,False
deep_coral,qwk,-0.0883175121726616,-0.13686814270688544,-0.04422550724449574,0.023510742155285536,True,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
deep_coral,f1_macro,-0.04827675907646134,-0.09064090924028063,-0.004434666861877203,0.02228335916261802,True,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
deep_coral,ece,0.07053294844181457,0.02769991044575945,0.11005875033185412,0.020573213812786956,True,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
chi-square with continuity correction,mcnemar_accuracy,,,,,,,,,,,tests exact-match accuracy only; ignores ordinal distance,43.0,46.0,89.0,0.0449438202247191,0.8321073651069549,False
mixstyle,qwk,-0.10958249013735699,-0.16255589770136628,-0.06226062469360563,0.025992622512057906,True,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
mixstyle,f1_macro,-0.048615121036685194,-0.08982664387615409,-0.004887801300885651,0.021126085161595424,True,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
mixstyle,ece,0.037220937416173494,-0.0019608331518738515,0.07319693819230766,0.01906244132096584,False,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
chi-square with continuity correction,mcnemar_accuracy,,,,,,,,,,,tests exact-match accuracy only; ignores ordinal distance,38.0,48.0,86.0,0.9418604651162791,0.3317998364977673,False
mixstyle_ordinal,qwk,-0.09055997211893962,-0.14023213802078976,-0.04457958136620662,0.023871466602347513,True,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
mixstyle_ordinal,f1_macro,-0.08967017140888123,-0.13362939330517945,-0.04477243231879086,0.022750313130320093,True,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
mixstyle_ordinal,ece,-0.2019027071203156,-0.2551038982953649,-0.12915517266765303,0.03226629389972694,True,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
chi-square with continuity correction,mcnemar_accuracy,,,,,,,,,,,tests exact-match accuracy only; ignores ordinal distance,67.0,51.0,118.0,1.9067796610169492,0.1673214183092176,False
deep_coral_ordinal,qwk,-0.08213767458642707,-0.1302211709391029,-0.03924503889817411,0.022706007844430505,True,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
deep_coral_ordinal,f1_macro,-0.07414540912466461,-0.11632018636383243,-0.028725882866577245,0.022931052843292762,True,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
deep_coral_ordinal,ece,-0.194026677790927,-0.2458914976282051,-0.12201894129980279,0.03248917644648896,True,0.95,507.0,2000.0,0.0,42.0,uncorrected for multiple comparisons,,,,,,
chi-square with continuity correction,mcnemar_accuracy,,,,,,,,,,,tests exact-match accuracy only; ignores ordinal distance,74.0,51.0,125.0,3.872,0.04909798160926549,True
