method,n_seeds,metric,difference,ci_lower,ci_upper,standard_error,significant,confidence_level,n_samples,n_bootstrap,n_failed_resamples,seed,note
ordinal,3,qwk,-0.06883915468372126,-0.09529769603796052,-0.04334087514498558,0.013308787266024727,True,0.95,1521,2000,0,42,uncorrected for multiple comparisons
ordinal,3,f1_macro,-0.04982431817835692,-0.0754678601515157,-0.02190748952697854,0.01374180849074724,True,0.95,1521,2000,0,42,uncorrected for multiple comparisons
ordinal,3,ece,-0.2373843610190664,-0.27330586241929644,-0.19792964446926364,0.019279476755158852,True,0.95,1521,2000,0,42,uncorrected for multiple comparisons
deep_coral,3,qwk,-0.04913526505729737,-0.07348211987773855,-0.0225793028157543,0.013218759783174794,True,0.95,1521,2000,0,42,uncorrected for multiple comparisons
deep_coral,3,f1_macro,-0.014665979763052506,-0.03516374915240097,0.005887139609062312,0.010546802068193386,False,0.95,1521,2000,0,42,uncorrected for multiple comparisons
deep_coral,3,ece,0.029152111236028955,0.008995316399244009,0.04849453954142003,0.01044342991183938,True,0.95,1521,2000,0,42,uncorrected for multiple comparisons
mixstyle,3,qwk,-0.06144861307821825,-0.09241714827412678,-0.0338361458587826,0.01492844998626108,True,0.95,1521,2000,0,42,uncorrected for multiple comparisons
mixstyle,3,f1_macro,-0.02619449048581829,-0.048415784498925474,-0.0027210413459151724,0.011946799835633237,True,0.95,1521,2000,0,42,uncorrected for multiple comparisons
mixstyle,3,ece,0.014653217619986891,-0.008061564428500987,0.03551870106229453,0.011067432528823203,False,0.95,1521,2000,0,42,uncorrected for multiple comparisons
mixstyle_ordinal,3,qwk,-0.06341717447897777,-0.09005951877020987,-0.037423470290948856,0.013702908834818991,True,0.95,1521,2000,0,42,uncorrected for multiple comparisons
mixstyle_ordinal,3,f1_macro,-0.041278429011645634,-0.06879986497514796,-0.009388822865269724,0.014773391633926132,True,0.95,1521,2000,0,42,uncorrected for multiple comparisons
mixstyle_ordinal,3,ece,-0.23499514148586456,-0.2711368140925378,-0.19570235850378048,0.01948462284753625,True,0.95,1521,2000,0,42,uncorrected for multiple comparisons
deep_coral_ordinal,3,qwk,-0.045479153350359236,-0.07201486579692364,-0.01764734715206513,0.01378152985526947,True,0.95,1521,2000,0,42,uncorrected for multiple comparisons
deep_coral_ordinal,3,f1_macro,-0.037530252658435626,-0.06346430107939965,-0.010359843626106962,0.013886648533042462,True,0.95,1521,2000,0,42,uncorrected for multiple comparisons
deep_coral_ordinal,3,ece,-0.22541090117028273,-0.26334157293178834,-0.1867123570389546,0.019343757919170652,True,0.95,1521,2000,0,42,uncorrected for multiple comparisons
