metric,method,baseline_mean,method_mean,delta,pooled_seed_sd,n_seeds,exceeds_seed_noise,direction
test_qwk,ordinal,0.72346568980534,0.6544732901986229,-0.0689923996067171,0.023946737683919368,3,True,worse
test_qwk,deep_coral,0.72346568980534,0.6742505669057279,-0.04921512289961205,0.025229805876484077,3,True,worse
test_qwk,mixstyle,0.72346568980534,0.6616544565348514,-0.06181123327048854,0.026584371735184353,3,True,worse
test_qwk,mixstyle_ordinal,0.72346568980534,0.6596040398340625,-0.06386164997127752,0.025630560578844597,3,True,worse
test_qwk,deep_coral_ordinal,0.72346568980534,0.6777829918254362,-0.045682697979903764,0.023133432534540505,3,True,worse
test_f1,ordinal,0.4383195309262324,0.3900842698264917,-0.04823526109974069,0.020312686363114743,3,True,worse
test_f1,deep_coral,0.4383195309262324,0.4253250866850194,-0.012994444241212988,0.024568355404957113,3,False,worse
test_f1,mixstyle,0.4383195309262324,0.41425894687886355,-0.024060584047368827,0.027877868283778206,3,False,worse
test_f1,mixstyle_ordinal,0.4383195309262324,0.3979997978586421,-0.04031973306759029,0.026334547475978208,3,True,worse
test_f1,deep_coral_ordinal,0.4383195309262324,0.4026730654967146,-0.03564646542951777,0.021709767612428897,3,True,worse
test_ece,ordinal,0.297340397631785,0.0610461937487713,-0.2362942038830137,0.021990519002052344,3,True,better
test_ece,deep_coral,0.297340397631785,0.32636628469928636,0.029025887067501366,0.032576276824627964,3,False,worse
test_ece,mixstyle,0.297340397631785,0.3122220199057963,0.014881622274011297,0.02688785100570547,3,False,worse
test_ece,mixstyle_ordinal,0.297340397631785,0.0632267207945749,-0.23411367683721007,0.022404932672015297,3,True,better
test_ece,deep_coral_ordinal,0.297340397631785,0.0744858336715146,-0.2228545639602704,0.025025250891439782,3,True,better
test_mae,ordinal,0.608809993425378,0.675871137409599,0.06706114398422103,0.029869340411835754,3,True,worse
test_mae,deep_coral,0.608809993425378,0.6469428007889547,0.038132807363576715,0.035920548006963114,3,True,worse
test_mae,mixstyle,0.608809993425378,0.6798159105851415,0.07100591715976345,0.036306560232146554,3,True,worse
test_mae,mixstyle_ordinal,0.608809993425378,0.6640368178829718,0.05522682445759375,0.0317016790302201,3,True,worse
test_mae,deep_coral_ordinal,0.608809993425378,0.6449704142011834,0.03616042077580539,0.02953095947597067,3,True,worse
test_severe,ordinal,0.10650887573964492,0.21564760026298482,0.1091387245233399,0.020322921125672234,3,True,worse
test_severe,deep_coral,0.10650887573964492,0.13740959894806049,0.030900723208415568,0.022285931961444173,3,True,worse
test_severe,mixstyle,0.10650887573964492,0.14858645627876393,0.04207758053911902,0.02280360972521318,3,True,worse
test_severe,mixstyle_ordinal,0.10650887573964492,0.2110453648915187,0.10453648915187379,0.022051952440826323,3,True,worse
test_severe,deep_coral_ordinal,0.10650887573964492,0.20315581854043394,0.09664694280078902,0.020259012410428146,3,True,worse
