artifact,role,size_bytes,sha256,source_run,required_for
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s42__target_test[ddr]_predictions.csv,predictions,2371104,0b0ad4b07d596bf64a0267a0bf662baa52cd86f1d256b4150468bd3dd7bb20d8,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s42,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s42_evaluation.json,config/report,9134,dd9d42280e6bf6a2f4ffcf490b2b5e9e1dbd0c391b0b620d45a9d70b5bc189f4,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s42,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s1__target_test[ddr]_predictions.csv,predictions,2374959,98f5b6eef1319ea188f47fd1b9eed852d6f40fddb0e2eb6d51627ba4c2c56625,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s1,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s1_evaluation.json,config/report,9151,db75b94eb4c8276f88de4c6a427e0c9aa74a4813d892356c4235b0c7244356a3,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s1,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s2__target_test[ddr]_predictions.csv,predictions,2376290,aab63337b720c9d63d0ece956ff5606d7f1c177e89edeffe9d442982519243c7,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s2,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s2_evaluation.json,config/report,9146,aa240d46693fdf21709f80a327331541f6184a087f944f100f0b46e5ce841f7e,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s2,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s3__target_test[ddr]_predictions.csv,predictions,2374701,51721c661d0e315ac2fc3b53492e0b8e8fe17a2601d1b10ead3e4eb397c34fc6,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s3,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s3_evaluation.json,config/report,9150,a03c5469c37a57952d63db9bce740ebdf72d713f4c71e27ef992ee4ca2ac89d3,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s3,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s4__target_test[ddr]_predictions.csv,predictions,2365649,a5fed143125676d85fa1db73c042ac22ab231bdaca625e014bd4b38a916f35d5,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s4,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s4_evaluation.json,config/report,9136,0d3b3709d3c622e0b865760192ad33775a60a6ab047a7e98b53de8e8791b32e2,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s4,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s5__target_test[ddr]_predictions.csv,predictions,2373969,5e32eefe2c6d5020f8ec415bdb36b91b820c60cec9437313a9469b29cfedb9f8,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s5,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s5_evaluation.json,config/report,9147,8dc9e5520ee5cc2b6feb4be45d1712bed42ca75dace218a50d859a3015cda2d3,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s5,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s6__target_test[ddr]_predictions.csv,predictions,2378704,594c4f9847a52d3bb9b2d0e023c2f116af3152e0be16cb616b7d130e652f601f,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s6,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s6_evaluation.json,config/report,9125,cf64ccc0a914a582960d6bcdb541c46c3a224f8239aa30161224efdb2f27d512,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s6,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s7__target_test[ddr]_predictions.csv,predictions,2365443,b124be0cf97c5ec25405270675e08112766025e2b989c6250c77cc7d74a88ab1,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s7,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s7_evaluation.json,config/report,9142,d280570309b6dfbc7cf4d4164c2fe22058d5e854ec6c67dc6dfffa97724c2ac9,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s7,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s8__target_test[ddr]_predictions.csv,predictions,2384772,9a9ac4dcec6927d8a26087f1811496ad5aca61f051bf7d092c154405792c602d,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s8,primary interaction; master results; referable-DR secondary
